division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
32,(Inactive) Open Women's 53 kg,2025-08-10T02:50:12.052Z,309,309,309,0,UPLOAD_STARTED,126
33,(Inactive) Open Women's 58 kg,2025-08-10T02:54:33.110Z,785,784,784,0,UPLOAD_STARTED,256
34,(Inactive) Open Women's 63 kg,2025-08-10T03:00:33.558Z,1077,1077,1077,0,UPLOAD_STARTED,355
35,(Inactive) Open Women's 69 kg,2025-08-10T03:06:49.283Z,1083,1082,1082,0,UPLOAD_STARTED,371
36,(Inactive) Open Women's 75 kg,2025-08-10T03:13:18.660Z,1133,1132,1132,0,UPLOAD_STARTED,384
37,(Inactive) Open Women's 90 kg,2025-08-10T03:27:49.430Z,1018,999,999,0,UPLOAD_STARTED,866
38,(Inactive) Open Women's +90 kg,2025-08-10T03:34:51.082Z,476,474,474,0,UPLOAD_STARTED,417
39,(Inactive) Open Women's 45kg,2025-08-10T03:36:18.231Z,56,56,56,0,UPLOAD_STARTED,82
40,(Inactive) Open Women's 49kg,2025-08-10T03:39:43.767Z,198,198,198,0,UPLOAD_STARTED,201
41,(Inactive) Open Women's 55kg,2025-08-10T03:48:37.018Z,619,613,613,0,UPLOAD_STARTED,528
42,(Inactive) Open Women's 59kg,2025-08-10T03:58:55.410Z,743,728,728,0,UPLOAD_STARTED,613
43,(Inactive) Open Women's 64kg,2025-08-10T04:13:38.582Z,1063,1056,1056,0,UPLOAD_STARTED,878
44,(Inactive) Open Women's 71kg,2025-08-10T04:30:18.312Z,1218,1206,1206,0,UPLOAD_STARTED,995
45,(Inactive) Open Women's 76kg,2025-08-10T04:40:13.059Z,775,766,766,0,UPLOAD_STARTED,590
46,(Inactive) Open Women's 81kg,2025-08-10T04:47:13.183Z,503,497,497,0,UPLOAD_STARTED,415
47,(Inactive) Open Women's 87kg,2025-08-10T04:52:11.489Z,346,342,342,0,UPLOAD_STARTED,293
48,(Inactive) Open Women's +87kg,2025-08-10T04:59:20.836Z,539,539,539,0,UPLOAD_STARTED,424
49,(Inactive) Men's Masters (35-39) 56 kg,2025-08-10T05:00:17.492Z,2,2,2,0,UPLOAD_STARTED,52
50,(Inactive) Men's Masters (35-39) 62 kg,2025-08-10T05:01:14.886Z,7,7,7,0,UPLOAD_STARTED,52
51,(Inactive) Men's Masters (35-39) 69 kg,2025-08-10T05:02:14.065Z,29,29,29,0,UPLOAD_STARTED,54
52,(Inactive) Men's Masters (35-39) 77 kg,2025-08-10T05:03:54.459Z,71,71,71,0,UPLOAD_STARTED,95
53,(Inactive) Men's Masters (35-39) 85 kg,2025-08-10T05:05:59.042Z,119,119,119,0,UPLOAD_STARTED,120
54,(Inactive) Men's Masters (35-39) 94 kg,2025-08-10T05:08:43.266Z,156,156,156,0,UPLOAD_STARTED,159
55,(Inactive) Men's Masters (35-39) 105 kg,2025-08-10T05:11:06.125Z,124,124,124,0,UPLOAD_STARTED,138
56,(Inactive) Men's Masters (35-39) +105 kg,2025-08-10T05:13:08.001Z,96,96,96,0,UPLOAD_STARTED,117
_2022
1,(Inactive) Women's Masters (70-74) 45kg,2025-08-10T14:09:50.509Z,0,0,0,NO_UPLOAD_NEEDED,1754834861418,NaN
2,(Inactive) Women's Masters (70-74) 49kg,2025-08-10T14:11:01.242Z,0,0,0,NO_UPLOAD_NEEDED,1754834995537,NaN
3,(Inactive) Women's Masters (70-74) 55kg,2025-08-10T14:12:15.398Z,3,3,3,0,UPLOAD_STARTED,69
4,(Inactive) Women's Masters (70-74) 59kg,2025-08-10T14:13:19.587Z,Unknown,1,1,0,UPLOAD_STARTED,59
5,(Inactive) Women's Masters (70-74) 64kg,2025-08-10T14:14:27.802Z,2,2,2,0,UPLOAD_STARTED,63
6,(Inactive) Women's Masters (70-74) 71kg,2025-08-10T14:15:35.198Z,0,0,0,NO_UPLOAD_NEEDED,1754835272805,NaN
7,(Inactive) Women's Masters (70-74) 76kg,2025-08-10T14:16:44.494Z,0,0,0,NO_UPLOAD_NEEDED,1754835340210,NaN
8,(Inactive) Women's Masters (70-74) 81kg,2025-08-10T14:17:55.972Z,2,2,2,0,UPLOAD_STARTED,66
9,(Inactive) Women's Masters (70-74) 87kg,2025-08-10T14:19:06.193Z,2,2,2,0,UPLOAD_STARTED,65
