division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
19,(Inactive) Women's 16-17 Age Group 48 kg,2025-08-09T03:37:04.893Z,20,20,20,0,UPLOAD_STARTED,75
20,(Inactive) Women's 16-17 Age Group 53 kg,2025-08-09T03:38:34.406Z,48,48,48,0,UPLOAD_STARTED,84
21,(Inactive) Women's 16-17 Age Group 58 kg,2025-08-09T03:40:16.979Z,78,78,78,0,UPLOAD_STARTED,98
22,(Inactive) Women's 16-17 Age Group 63 kg,2025-08-09T03:42:05.902Z,91,90,90,0,UPLOAD_STARTED,104
23,(Inactive) Women's 16-17 Age Group 69 kg,2025-08-09T03:43:16.111Z,62,62,62,0,UPLOAD_STARTED,65
24,(Inactive) Women's 16-17 Age Group 75 kg,2025-08-09T03:44:26.592Z,35,35,35,0,UPLOAD_STARTED,65
25,(Inactive) Women's 16-17 Age Group +75 kg,2025-08-09T03:45:43.767Z,56,56,56,0,UPLOAD_STARTED,72
26,(Inactive) Women's 16-17 Age Group 40kg,2025-08-09T03:46:49.129Z,Unknown,1,1,0,UPLOAD_STARTED,60
27,(Inactive) Women's 16-17 Age Group 45kg,2025-08-09T03:47:52.350Z,7,7,7,0,UPLOAD_STARTED,58
28,(Inactive) Women's 16-17 Age Group 49kg,2025-08-09T03:49:00.637Z,32,32,32,0,UPLOAD_STARTED,63
29,(Inactive) Women's 16-17 Age Group 55kg,2025-08-09T03:50:23.474Z,66,65,65,0,UPLOAD_STARTED,78
30,(Inactive) Women's 16-17 Age Group 59kg,2025-08-09T03:51:53.704Z,72,72,72,0,UPLOAD_STARTED,85
31,(Inactive) Women's 16-17 Age Group 64kg,2025-08-09T03:53:21.926Z,76,76,76,0,UPLOAD_STARTED,83
32,(Inactive) Women's 16-17 Age Group 71kg,2025-08-09T03:54:41.480Z,50,50,50,0,UPLOAD_STARTED,75
33,(Inactive) Women's 16-17 Age Group 76kg,2025-08-09T03:55:56.733Z,29,29,29,0,UPLOAD_STARTED,70
34,(Inactive) Women's 16-17 Age Group 81kg,2025-08-09T03:57:09.394Z,12,12,12,0,UPLOAD_STARTED,68
35,(Inactive) Women's 16-17 Age Group +81kg,2025-08-09T03:58:24.073Z,37,37,37,0,UPLOAD_STARTED,70
36,(Inactive) Men's 16-17 Age Group 50 kg,2025-08-09T03:59:36.630Z,7,7,7,0,UPLOAD_STARTED,68
37,(Inactive) Men's 16-17 Age Group 56 kg,2025-08-09T04:00:47.525Z,11,11,11,0,UPLOAD_STARTED,66
38,(Inactive) Men's 16-17 Age Group 62 kg,2025-08-09T04:02:08.437Z,26,26,26,0,UPLOAD_STARTED,76
39,(Inactive) Men's 16-17 Age Group 69 kg,2025-08-09T04:03:32.492Z,72,72,72,0,UPLOAD_STARTED,79
40,(Inactive) Men's 16-17 Age Group 77 kg,2025-08-09T04:05:18.018Z,92,91,91,0,UPLOAD_STARTED,101
41,(Inactive) Men's 16-17 Age Group 85 kg,2025-08-09T04:06:49.983Z,68,68,68,0,UPLOAD_STARTED,87
42,(Inactive) Men's 16-17 Age Group 94 kg,2025-08-09T04:08:07.448Z,45,45,45,0,UPLOAD_STARTED,72
43,(Inactive) Men's 16-17 Age Group 105 kg,2025-08-09T04:09:29.513Z,28,28,28,0,UPLOAD_STARTED,77
44,(Inactive) Men's 16-17 Age Group +105 kg,2025-08-09T04:10:51.454Z,30,30,30,0,UPLOAD_STARTED,77
45,(Inactive) Men's 16-17 Age Group 49kg,2025-08-09T04:12:04.643Z,5,5,5,0,UPLOAD_STARTED,68
46,(Inactive) Men's 16-17 Age Group 55kg,2025-08-09T04:13:16.484Z,12,12,12,0,UPLOAD_STARTED,67
47,(Inactive) Men's 16-17 Age Group 61kg,2025-08-09T04:14:34.062Z,26,26,26,0,UPLOAD_STARTED,73
48,(Inactive) Men's 16-17 Age Group 67kg,2025-08-09T04:16:08.273Z,62,62,62,0,UPLOAD_STARTED,89
49,(Inactive) Men's 16-17 Age Group 73kg,2025-08-09T04:17:45.500Z,84,84,84,0,UPLOAD_STARTED,92
50,(Inactive) Men's 16-17 Age Group 81kg,2025-08-09T04:18:55.961Z,73,73,73,0,UPLOAD_STARTED,65
51,(Inactive) Men's 16-17 Age Group 89kg,2025-08-09T04:20:07.980Z,48,48,48,0,UPLOAD_STARTED,67
52,(Inactive) Men's 16-17 Age Group 96kg,2025-08-09T04:21:16.822Z,27,27,27,0,UPLOAD_STARTED,64
53,(Inactive) Men's 16-17 Age Group 102kg,2025-08-09T04:22:27.057Z,17,17,17,0,UPLOAD_STARTED,65
54,(Inactive) Men's 16-17 Age Group +102kg,2025-08-09T04:23:35.136Z,30,30,30,0,UPLOAD_STARTED,63
55,(Inactive) Junior Women's 48 kg,2025-08-09T04:24:45.919Z,42,42,42,0,UPLOAD_STARTED,66
56,(Inactive) Junior Women's 53 kg,2025-08-09T04:26:06.767Z,93,93,93,0,UPLOAD_STARTED,76
57,(Inactive) Junior Women's 58 kg,2025-08-09T04:27:43.393Z,176,176,176,0,UPLOAD_STARTED,92
58,(Inactive) Junior Women's 63 kg,2025-08-09T04:29:24.995Z,180,180,180,0,UPLOAD_STARTED,97
59,(Inactive) Junior Women's 69 kg,2025-08-09T04:30:56.349Z,144,144,144,0,UPLOAD_STARTED,86
60,(Inactive) Junior Women's 75 kg,2025-08-09T04:32:22.333Z,112,112,112,0,UPLOAD_STARTED,81
61,(Inactive) Junior Women's 90 kg,2025-08-09T04:33:46.774Z,101,101,101,0,UPLOAD_STARTED,79
62,(Inactive) Junior Women's +90 kg,2025-08-09T04:35:00.944Z,52,52,52,0,UPLOAD_STARTED,69
63,(Inactive) Junior Women's +75 Kg,2025-08-09T04:36:36.878Z,146,146,146,0,UPLOAD_STARTED,91
64,(Inactive) Junior Women's 45kg,2025-08-09T04:37:43.948Z,14,14,14,0,UPLOAD_STARTED,62
65,(Inactive) Junior Women's 49kg,2025-08-09T04:39:01.919Z,63,63,63,0,UPLOAD_STARTED,73
66,(Inactive) Junior Women's 55kg,2025-08-09T04:40:12.950Z,148,30,30,0,UPLOAD_STARTED,66
67,(Inactive) Junior Women's 59kg,2025-08-09T04:41:52.871Z,155,155,155,0,UPLOAD_STARTED,95
68,(Inactive) Junior Women's 64kg,2025-08-09T04:43:35.509Z,155,155,155,0,UPLOAD_STARTED,98
69,(Inactive) Junior Women's 71kg,2025-08-09T04:45:17.623Z,149,149,149,0,UPLOAD_STARTED,97
70,(Inactive) Junior Women's 76kg,2025-08-09T04:46:35.065Z,79,79,79,0,UPLOAD_STARTED,72
71,(Inactive) Junior Women's 81kg,2025-08-09T04:47:48.003Z,40,40,40,0,UPLOAD_STARTED,68
72,(Inactive) Junior Women's 87kg,2025-08-09T04:49:00.893Z,40,40,40,0,UPLOAD_STARTED,68
73,(Inactive) Junior Women's +87kg,2025-08-09T04:50:16.295Z,62,62,62,0,UPLOAD_STARTED,70
_2021
1,(Inactive) Men's 14-15 Age Group 50 Kg,2025-08-09T23:04:59.357Z,19,19,19,0,UPLOAD_STARTED,135
2,(Inactive) Men's 14-15 Age Group 56 Kg,2025-08-09T23:06:11.971Z,49,49,49,0,UPLOAD_STARTED,68
3,(Inactive) Men's 14-15 Age Group 62 kg,2025-08-09T23:07:30.562Z,66,66,66,0,UPLOAD_STARTED,74
4,(Inactive) Men's 14-15 Age Group 69 kg,2025-08-09T23:08:41.455Z,60,60,60,0,UPLOAD_STARTED,66
