division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
22,(Inactive) Women's Masters (55-59) 53 kg,2025-08-10T01:36:22.227Z,10,10,10,0,UPLOAD_STARTED,58
23,(Inactive) Women's Masters (55-59) 58 kg,2025-08-10T01:37:23.397Z,24,24,24,0,UPLOAD_STARTED,56
24,(Inactive) Women's Masters (55-59) 63 kg,2025-08-10T01:38:32.289Z,46,46,46,0,UPLOAD_STARTED,64
25,(Inactive) Women's Masters (55-59) 69 kg,2025-08-10T01:39:44.254Z,57,57,57,0,UPLOAD_STARTED,67
26,(Inactive) Women's Masters (55-59) 75 kg,2025-08-10T01:41:03.902Z,71,70,70,0,UPLOAD_STARTED,75
27,(Inactive) Women's Masters (55-59) 90 kg,2025-08-10T01:42:07.507Z,19,19,19,0,UPLOAD_STARTED,59
28,(Inactive) Women's Masters (55-59) +90 kg,2025-08-10T01:43:12.545Z,4,4,4,0,UPLOAD_STARTED,60
29,(Inactive) Women's Masters (55-59) 45kg,2025-08-10T01:44:16.416Z,2,2,2,0,UPLOAD_STARTED,59
30,(Inactive) Women's Masters (55-59) 49kg,2025-08-10T01:45:20.701Z,5,5,5,0,UPLOAD_STARTED,59
31,(Inactive) Women's Masters (55-59) 55kg,2025-08-10T01:46:25.887Z,14,14,14,0,UPLOAD_STARTED,60
32,(Inactive) Women's Masters (55-59) 59kg,2025-08-10T01:47:31.046Z,13,13,13,0,UPLOAD_STARTED,60
33,(Inactive) Women's Masters (55-59) 64kg,2025-08-10T01:48:37.588Z,19,19,19,0,UPLOAD_STARTED,62
34,(Inactive) Women's Masters (55-59) 71kg,2025-08-10T01:49:43.784Z,18,18,18,0,UPLOAD_STARTED,61
35,(Inactive) Women's Masters (55-59) 76kg,2025-08-10T01:50:51.746Z,12,12,12,0,UPLOAD_STARTED,63
36,(Inactive) Women's Masters (55-59) 81kg,2025-08-10T01:52:01.809Z,10,10,10,0,UPLOAD_STARTED,65
37,(Inactive) Women's Masters (55-59) 87kg,2025-08-10T01:53:05.959Z,7,7,7,0,UPLOAD_STARTED,59
38,(Inactive) Women's Masters (55-59) +87kg,2025-08-10T01:54:11.910Z,5,5,5,0,UPLOAD_STARTED,61
39,(Inactive) Women's Masters (60-64) +75 kg,2025-08-10T01:55:23.128Z,9,9,9,0,UPLOAD_STARTED,66
40,(Inactive) Women's Masters (60-64) 48 kg,2025-08-10T01:56:27.487Z,3,3,3,0,UPLOAD_STARTED,59
41,(Inactive) Women's Masters (60-64) 53 kg,2025-08-10T01:57:37.542Z,11,11,11,0,UPLOAD_STARTED,65
42,(Inactive) Women's Masters (60-64) 58 kg,2025-08-10T01:58:46.695Z,19,19,19,0,UPLOAD_STARTED,64
43,(Inactive) Women's Masters (60-64) 63 kg,2025-08-10T01:59:55.080Z,28,28,28,0,UPLOAD_STARTED,63
44,(Inactive) Women's Masters (60-64) 69 kg,2025-08-10T02:01:11.127Z,35,35,35,0,UPLOAD_STARTED,71
45,(Inactive) Women's Masters (60-64) 75 kg,2025-08-10T02:02:24.804Z,43,43,43,0,UPLOAD_STARTED,69
46,(Inactive) Women's Masters (60-64) 90 kg,2025-08-10T02:03:27.387Z,8,8,8,0,UPLOAD_STARTED,58
47,(Inactive) Women's Masters (60-64) +90 kg,2025-08-10T02:04:33.968Z,2,2,2,0,UPLOAD_STARTED,62
48,(Inactive) Women's Masters (60-64) 45kg,2025-08-10T02:05:36.949Z,Unknown,1,1,0,UPLOAD_STARTED,58
49,(Inactive) Women's Masters (60-64) 49kg,2025-08-10T02:06:39.362Z,5,5,5,0,UPLOAD_STARTED,57
50,(Inactive) Women's Masters (60-64) 55kg,2025-08-10T02:07:47.432Z,12,12,12,0,UPLOAD_STARTED,63
51,(Inactive) Women's Masters (60-64) 59kg,2025-08-10T02:08:56.319Z,6,6,6,0,UPLOAD_STARTED,64
52,(Inactive) Women's Masters (60-64) 64kg,2025-08-10T02:10:02.823Z,12,12,12,0,UPLOAD_STARTED,61
53,(Inactive) Women's Masters (60-64) 71kg,2025-08-10T02:11:12.019Z,8,8,8,0,UPLOAD_STARTED,64
54,(Inactive) Women's Masters (60-64) 76kg,2025-08-10T02:12:22.443Z,9,9,9,0,UPLOAD_STARTED,65
55,(Inactive) Women's Masters (60-64) 81kg,2025-08-10T02:13:27.142Z,4,4,4,0,UPLOAD_STARTED,60
56,(Inactive) Women's Masters (60-64) 87kg,2025-08-10T02:14:38.801Z,3,3,3,0,UPLOAD_STARTED,67
57,(Inactive) Women's Masters (60-64) +87kg,2025-08-10T02:15:48.903Z,2,2,2,0,UPLOAD_STARTED,65
58,(Inactive) Women's Masters (65-69) +75 kg,2025-08-10T02:16:55.904Z,4,4,4,0,UPLOAD_STARTED,62
59,(Inactive) Women's Masters (65-69) 48 kg,2025-08-10T02:18:03.927Z,2,2,2,0,UPLOAD_STARTED,63
60,(Inactive) Women's Masters (65-69) 53 kg,2025-08-10T02:19:12.112Z,3,3,3,0,UPLOAD_STARTED,63
61,(Inactive) Women's Masters (65-69) 58 kg,2025-08-10T02:20:18.190Z,8,8,8,0,UPLOAD_STARTED,61
62,(Inactive) Women's Masters (65-69) 63 kg,2025-08-10T02:21:25.503Z,13,13,13,0,UPLOAD_STARTED,62
63,(Inactive) Women's Masters (65-69) 69 kg,2025-08-10T02:22:33.145Z,17,17,17,0,UPLOAD_STARTED,63
64,(Inactive) Women's Masters (65-69) 75 kg,2025-08-10T02:23:46.064Z,18,18,18,0,UPLOAD_STARTED,68
65,(Inactive) Women's Masters (65-69) 90 kg,2025-08-10T02:24:56.540Z,3,3,3,0,UPLOAD_STARTED,65
66,(Inactive) Women's Masters (65-69) +90 kg,2025-08-10T02:26:09.907Z,Unknown,1,1,0,UPLOAD_STARTED,68
67,(Inactive) Women's Masters (65-69) 45kg,2025-08-10T02:27:18.210Z,0,0,0,NO_UPLOAD_NEEDED,1754792774908,NaN
68,(Inactive) Women's Masters (65-69) 49kg,2025-08-10T02:28:20.748Z,2,2,2,0,UPLOAD_STARTED,58
69,(Inactive) Women's Masters (65-69) 55kg,2025-08-10T02:29:29.615Z,4,4,4,0,UPLOAD_STARTED,64
70,(Inactive) Women's Masters (65-69) 59kg,2025-08-10T02:30:27.134Z,4,4,4,0,UPLOAD_STARTED,53
71,(Inactive) Women's Masters (65-69) 64kg,2025-08-10T02:31:26.600Z,6,6,6,0,UPLOAD_STARTED,54
72,(Inactive) Women's Masters (65-69) 71kg,2025-08-10T02:32:29.539Z,4,4,4,0,UPLOAD_STARTED,58
73,(Inactive) Women's Masters (65-69) 76kg,2025-08-10T02:33:28.105Z,0,0,0,NO_UPLOAD_NEEDED,1754793154540,NaN
74,(Inactive) Women's Masters (65-69) 81kg,2025-08-10T02:34:30.220Z,Unknown,1,1,0,UPLOAD_STARTED,57
75,(Inactive) Women's Masters (65-69) 87kg,2025-08-10T02:35:31.700Z,3,3,3,0,UPLOAD_STARTED,56
76,(Inactive) Women's Masters (65-69) +87kg,2025-08-10T02:36:32.983Z,Unknown,1,1,0,UPLOAD_STARTED,56
77,(Inactive) Women's Masters (70-74) +75 kg,2025-08-10T02:37:33.340Z,2,2,2,0,UPLOAD_STARTED,55
78,(Inactive) Women's Masters (70-74) 48 kg,2025-08-10T02:38:33.308Z,0,0,0,NO_UPLOAD_NEEDED,1754793458342,NaN
79,(Inactive) Women's Masters (70-74) 53 kg,2025-08-10T02:39:36.186Z,Unknown,1,1,0,UPLOAD_STARTED,58
80,(Inactive) Women's Masters (70-74) 58 kg,2025-08-10T02:40:37.341Z,5,5,5,0,UPLOAD_STARTED,56
81,(Inactive) Women's Masters (70-74) 63 kg,2025-08-10T02:41:37.004Z,5,5,5,0,UPLOAD_STARTED,55
82,(Inactive) Women's Masters (70-74) 69 kg,2025-08-10T02:42:33.903Z,6,6,6,0,UPLOAD_STARTED,52
83,(Inactive) Women's Masters (70-74) 75 kg,2025-08-10T02:43:31.007Z,6,6,6,0,UPLOAD_STARTED,52
84,(Inactive) Women's Masters (70-74) 90 kg,2025-08-10T02:44:27.538Z,Unknown,1,1,0,UPLOAD_STARTED,52
85,(Inactive) Women's Masters (70-74) +90 kg,2025-08-10T02:45:24.010Z,Unknown,1,1,0,UPLOAD_STARTED,51
_2022
1,(Inactive) Women's Masters (50-54) +75 kg,2025-08-10T14:09:03.009Z,42,42,42,0,UPLOAD_STARTED,145
2,(Inactive) Women's Masters (50-54) 48 kg,2025-08-10T14:10:04.910Z,4,4,4,0,UPLOAD_STARTED,57
3,(Inactive) Women's Masters (50-54) 53 kg,2025-08-10T14:11:18.078Z,14,14,14,0,UPLOAD_STARTED,68
4,(Inactive) Women's Masters (50-54) 58 kg,2025-08-10T14:12:38.090Z,36,36,36,0,UPLOAD_STARTED,75
5,(Inactive) Women's Masters (50-54) 63 kg,2025-08-10T14:13:54.494Z,65,65,65,0,UPLOAD_STARTED,71
6,(Inactive) Women's Masters (50-54) 69 kg,2025-08-10T14:15:19.839Z,98,98,98,0,UPLOAD_STARTED,80
7,(Inactive) Women's Masters (50-54) 75 kg,2025-08-10T14:16:53.340Z,120,120,120,0,UPLOAD_STARTED,88
8,(Inactive) Women's Masters (50-54) 90 kg,2025-08-10T14:18:08.089Z,30,30,30,0,UPLOAD_STARTED,70
9,(Inactive) Women's Masters (50-54) +90 kg,2025-08-10T14:19:20.916Z,15,15,15,0,UPLOAD_STARTED,68
10,(Inactive) Women's Masters (50-54) 45kg,2025-08-10T14:20:21.573Z,Unknown,1,1,0,UPLOAD_STARTED,56
11,(Inactive) Women's Masters (50-54) 49kg,2025-08-10T14:21:29.780Z,8,8,8,0,UPLOAD_STARTED,63
12,(Inactive) Women's Masters (50-54) 55kg,2025-08-10T14:22:39.600Z,18,18,18,0,UPLOAD_STARTED,65
13,(Inactive) Women's Masters (50-54) 59kg,2025-08-10T14:23:49.969Z,24,24,24,0,UPLOAD_STARTED,65
14,(Inactive) Women's Masters (50-54) 64kg,2025-08-10T14:25:03.813Z,40,40,40,0,UPLOAD_STARTED,69
15,(Inactive) Women's Masters (50-54) 71kg,2025-08-10T14:26:17.511Z,41,41,41,0,UPLOAD_STARTED,69
16,(Inactive) Women's Masters (50-54) 76kg,2025-08-10T14:27:25.169Z,20,20,20,0,UPLOAD_STARTED,63
17,(Inactive) Women's Masters (50-54) 81kg,2025-08-10T14:28:32.165Z,14,14,14,0,UPLOAD_STARTED,62
18,(Inactive) Women's Masters (50-54) 87kg,2025-08-10T14:29:42.272Z,13,13,13,0,UPLOAD_STARTED,65
19,(Inactive) Women's Masters (50-54) +87kg,2025-08-10T14:30:49.713Z,16,16,16,0,UPLOAD_STARTED,62
20,(Inactive) Women's Masters (55-59) +75 kg,2025-08-10T14:31:57.755Z,38,38,38,0,UPLOAD_STARTED,63
21,(Inactive) Women's Masters (55-59) 48 kg,2025-08-10T14:32:55.634Z,5,5,5,0,UPLOAD_STARTED,53
22,(Inactive) Women's Masters (55-59) 53 kg,2025-08-10T14:33:56.819Z,7,7,7,0,UPLOAD_STARTED,56
23,(Inactive) Women's Masters (55-59) 58 kg,2025-08-10T14:35:02.404Z,29,29,29,0,UPLOAD_STARTED,61
24,(Inactive) Women's Masters (55-59) 63 kg,2025-08-10T14:36:11.611Z,47,47,47,0,UPLOAD_STARTED,64
25,(Inactive) Women's Masters (55-59) 69 kg,2025-08-10T14:37:24.585Z,65,65,65,0,UPLOAD_STARTED,68
26,(Inactive) Women's Masters (55-59) 75 kg,2025-08-10T14:38:37.887Z,83,83,83,0,UPLOAD_STARTED,68
27,(Inactive) Women's Masters (55-59) 90 kg,2025-08-10T14:39:41.601Z,30,30,30,0,UPLOAD_STARTED,59
28,(Inactive) Women's Masters (55-59) +90 kg,2025-08-10T14:40:44.720Z,11,11,11,0,UPLOAD_STARTED,58
29,(Inactive) Women's Masters (55-59) 45kg,2025-08-10T14:41:46.952Z,Unknown,1,1,0,UPLOAD_STARTED,57
30,(Inactive) Women's Masters (55-59) 49kg,2025-08-10T14:42:50.619Z,5,5,5,0,UPLOAD_STARTED,59
31,(Inactive) Women's Masters (55-59) 55kg,2025-08-10T14:43:56.384Z,13,13,13,0,UPLOAD_STARTED,61
32,(Inactive) Women's Masters (55-59) 59kg,2025-08-10T14:45:00.174Z,18,18,18,0,UPLOAD_STARTED,59
